action_profile,active_session_count,audit_rate,audit_selected,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,config,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,diagnostic_only,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,observed_quality_loss,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,predicted_quality_loss,primary_profile,quality_estimate,quality_loss,quality_status,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,run_dir,safe,safety_reason,session_id,task,ttft_ms,turn_index,violation_status
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,25.339111328125,2.377197265625,2.377197265625,0.869873046875,2062.1799000073224,unknown,True,,True,,False,,15097.3271484375,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-021-turn-1,2.377197265625,1.50732421875,2.377197265625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-021,chat,186.75358011387289,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,26.03466796875,2.117431640625,2.117431640625,0.695556640625,2027.4571019690484,unknown,True,,True,,False,,15086.38037109375,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-022-turn-1,2.117431640625,1.421875,2.117431640625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-022,chat,151.7306489404291,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,26.760986328125,2.090087890625,2.090087890625,0.726318359375,2062.1936621610075,unknown,True,,True,,False,,15093.53466796875,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-023-turn-1,2.090087890625,1.36376953125,2.090087890625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-023,chat,156.3778801355511,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,27.208740234375,2.45751953125,2.45751953125,0.44775390625,2142.6390381529927,unknown,True,,True,,False,,15107.1083984375,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-024-turn-1,2.45751953125,2.009765625,2.45751953125,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-024,chat,194.78411599993706,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,28.070068359375,2.1533203125,2.1533203125,0.861328125,2017.15450710617,unknown,True,,True,,False,,15075.29833984375,True,static_safe,False,0.009194854180981994,0.009194854180981994,kivi_4bit_residual32,0.009194854180981994,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-025-turn-1,2.1533203125,1.2919921875,2.1533203125,0.0,0.009194854180981994,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-025,chat,138.79656791687012,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,29.08349609375,2.448974609375,2.448974609375,1.013427734375,2069.5126550272107,unknown,True,,True,,False,,15106.9150390625,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-026-turn-1,2.448974609375,1.435546875,2.448974609375,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-026,chat,184.2654850333929,1,risk_evidence_insufficient
full_gpu,13.0,0.1,True,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,29.08349609375,True,calibrated unsafe,120.2578125,12.140625,12.140625,12.140625,12.140625,45474.86056685448,unknown,True,0.0,True,,False,,15349.51708984375,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,44325.67940414883,0.020039682539682534,kivi_4bit_residual32,0.13324314574314564,hybrid-session-012-turn-2,12.140625,0.0,12.140625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated unsafe,hybrid-session-012,qa,44326.58590301871,2,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,12.140625,False,,120.2578125,3.623046875,3.623046875,3.623046875,3.623046875,50350.24503207207,unknown,True,,True,,False,,15261.53271484375,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,48322.422513118014,,,,hybrid-session-013-turn-2,3.623046875,0.0,3.623046875,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-013,summary,48323.3035791982,2,risk_evidence_insufficient
full_gpu,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,3.623046875,True,calibrated unsafe,120.2578125,10.0625,10.0625,10.0625,10.0625,46326.727142095566,unknown,True,,True,,False,,15293.30517578125,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,45154.36408017203,0.020039682539682534,kivi_4bit_residual32,0.13324314574314564,hybrid-session-016-turn-2,10.0625,0.0,10.0625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated unsafe,hybrid-session-016,qa,45155.34273605235,2,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,10.0625,False,,120.2578125,4.205810546875,4.205810546875,4.205810546875,4.205810546875,50129.91894507408,unknown,True,,True,,False,,15310.23291015625,True,static_safe,False,0.0008806881726053928,0.0008806881726053928,kivi_4bit_residual32,0.0008806881726053928,,risk_evidence_insufficient,0.0,static_safe,48048.01899688877,,,,hybrid-session-017-turn-2,4.205810546875,0.0,4.205810546875,0.0,0.004134980733550805,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-017,summary,48048.99821505509,2,risk_evidence_insufficient
full_gpu,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,4.205810546875,True,calibrated unsafe,120.2578125,9.515625,9.515625,9.515625,9.515625,46443.947502851486,unknown,True,,True,,False,,15277.2705078125,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,45120.33378190547,0.05128205128205129,kivi_4bit_residual32,0.358974358974359,hybrid-session-018-turn-2,9.515625,0.0,9.515625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated unsafe,hybrid-session-018,qa,45121.308550911024,2,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,9.515625,False,,120.2578125,3.802490234375,3.802490234375,3.802490234375,3.802490234375,50155.363585948944,unknown,True,,True,,False,,15269.82275390625,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,48076.063927877694,,,,hybrid-session-019-turn-2,3.802490234375,0.0,3.802490234375,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-019,summary,48077.17353492975,2,risk_evidence_insufficient
