policy,memory_budget_mib,epsilon,delta,session_id,count,p95_ttft_ms,mean_ttft_ms,p95_quality_loss,mean_quality_loss,mean_kv_cache_memory_mib,violation_rate
utility_dynamic,120.258,0.05,0.05,hybrid-session-021,5.0,238.8583419378847,169.9459029827267,,,3.85751953125,
utility_dynamic,120.258,0.05,0.05,hybrid-session-025,5.0,202.06887111999094,158.1607052590698,,,3.725927734375,
utility_dynamic,120.258,0.05,0.05,hybrid-session-026,5.0,226.90596990287304,186.77853769622743,,,3.93955078125,
full_lru,469.602,0.05,0.05,hybrid-session-002,5.0,3875.9209839627147,844.3702365737408,,,9.0125,
full_lru,469.602,0.05,0.05,hybrid-session-003,5.0,94.25018704496324,84.13173323497176,,,8.0828125,
full_lru,469.602,0.05,0.05,hybrid-session-004,5.0,97.55370300263166,86.44739342853427,,,9.3296875,
full_lru,469.602,0.05,0.05,hybrid-session-005,5.0,98.26617082580924,87.82504992559552,,,8.96875,
full_lru,469.602,0.05,0.05,hybrid-session-006,5.0,103.21835987269878,86.35561359114945,,,10.740625,
full_lru,469.602,0.05,0.05,hybrid-session-009,5.0,93.32775417715311,84.89038762636483,,,8.09375,
full_lru,469.602,0.05,0.05,hybrid-session-010,5.0,100.52811889909208,85.59858319349587,,,8.4328125,
full_lru,469.602,0.05,0.05,hybrid-session-013,5.0,96.31515294313431,84.62043162435293,,,8.246875,
full_lru,469.602,0.05,0.05,hybrid-session-016,5.0,96.20540495961905,83.67525325156748,,,9.1328125,
full_lru,469.602,0.05,0.05,hybrid-session-020,5.0,97.71484392695129,86.96362935006618,,,9.1546875,
full_lru,469.602,0.05,0.05,hybrid-session-021,5.0,97.13503601960838,87.60847086086869,,,9.49375,
full_lru,469.602,0.05,0.05,hybrid-session-025,5.0,94.60705309174955,81.56221895478666,,,8.3890625,
full_lru,469.602,0.05,0.05,hybrid-session-026,5.0,96.4187381323427,85.47139205038548,,,9.646875,
static_best,469.602,0.05,0.05,hybrid-session-002,5.0,3731.8886301945895,870.6325710285455,,,4.37294921875,
static_best,469.602,0.05,0.05,hybrid-session-003,5.0,182.76507686823606,134.42699280567467,,,4.161376953125,
static_best,469.602,0.05,0.05,hybrid-session-004,5.0,191.96344609372318,153.79528682678938,,,4.558544921875,
static_best,469.602,0.05,0.05,hybrid-session-005,5.0,191.46307883784175,138.9284427743405,,,4.332958984375,
static_best,469.602,0.05,0.05,hybrid-session-006,5.0,201.47039089351892,153.5812938120216,,,5.06337890625,
static_best,469.602,0.05,0.05,hybrid-session-009,5.0,168.63029287196696,133.31837756559253,,,4.217431640625,
static_best,469.602,0.05,0.05,hybrid-session-010,5.0,169.68122590333223,121.2606533896178,,,4.413623046875,
static_best,469.602,0.05,0.05,hybrid-session-013,5.0,184.54593606293201,136.62842838093638,,,4.31416015625,
static_best,469.602,0.05,0.05,hybrid-session-016,5.0,197.65676790848374,140.01778597012162,,,4.489501953125,
static_best,469.602,0.05,0.05,hybrid-session-020,5.0,231.5080501139164,147.52713236957788,,,4.488818359375,
static_best,469.602,0.05,0.05,hybrid-session-021,5.0,227.96179307624698,158.54206085205078,,,4.70380859375,
static_best,469.602,0.05,0.05,hybrid-session-025,5.0,196.30885194055736,139.1538971569389,,,4.422509765625,
static_best,469.602,0.05,0.05,hybrid-session-026,5.0,190.18160202540457,150.45444960705936,,,4.79677734375,
static_safe,469.602,0.05,0.05,hybrid-session-002,5.0,3611.9344579055905,854.6394911594689,,,4.37294921875,
static_safe,469.602,0.05,0.05,hybrid-session-003,5.0,183.29702503979206,139.92837583646178,,,4.161376953125,
static_safe,469.602,0.05,0.05,hybrid-session-004,5.0,202.03173998743296,161.22802514582872,,,4.558544921875,
static_safe,469.602,0.05,0.05,hybrid-session-005,5.0,200.70540392771363,151.33629646152258,,,4.332958984375,
static_safe,469.602,0.05,0.05,hybrid-session-006,5.0,196.50819711387157,164.17249301448464,,,5.06337890625,
static_safe,469.602,0.05,0.05,hybrid-session-009,5.0,202.67176697961986,138.17524467594922,,,4.217431640625,
static_safe,469.602,0.05,0.05,hybrid-session-010,5.0,200.63785184174776,144.18267817236483,,,4.413623046875,
