action_profile,audit_rate,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,14357.693497705459,long,True,True,,False,,4632.94482421875,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_050_turn_004,0.0,0.0,0.0,12108.3046875,,,session_050,chat,13705.66393123865,4
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,17340.722408539055,long,True,True,,False,,4739.42529296875,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_050_turn_005,0.0,0.0,0.0,15136.887499999999,,,session_050,chat,16794.84648669362,5
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,1980.2693873226642,short,True,True,,False,,4284.29052734375,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_051_turn_000,0.0,0.0,0.0,0.0,,,session_051,chat,1339.4894338726997,0
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,5088.087104862928,medium,True,True,,False,,4401.97314453125,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_051_turn_001,0.0,0.0,0.0,3028.5828125,,,session_051,chat,4426.8145939767355,1
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,8218.115381610392,long,True,True,,False,,4750.90771484375,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_051_turn_002,0.0,0.0,0.0,6056.043164062499,,,session_051,chat,7696.983989042043,2
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,2047.092869836092,short,True,True,,False,,4310.57568359375,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_052_turn_000,0.0,0.0,0.0,0.0,,,session_052,chat,1357.5672506868839,0
full_gpu,,measured_replay,True,,,,,,,,,,8696.61328125,True,,5000.0,5000.0,0.0,,,7367.405172729492,medium,True,True,,False,,4488.40966796875,False,full_lru,,0.0,1304.4919921875,full precision exact profile,0.0,,,,session_052_turn_001,0.0,0.0,0.0,3028.5828125,,,session_052,chat,6821.971476370096,1
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,8158.406492555141,long,True,True,,False,,4628.08544921875,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_052_turn_002,0.0,0.0,0.0,6072.3974609375,,,session_052,chat,7636.001691454649,2
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,1920.5804900169371,short,True,True,,False,,4355.02685546875,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_053_turn_000,0.0,0.0,0.0,0.0,,,session_053,chat,1369.498307341337,0
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,7505.280761390924,long,True,True,,False,,4819.94091796875,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_053_turn_001,0.0,0.0,0.0,3017.883203125,,,session_053,chat,6963.834232062101,1
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,1851.6706176936625,short,True,True,,False,,4287.56787109375,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_054_turn_000,0.0,0.0,0.0,0.0,,,session_054,chat,1331.966704213619,0
full_gpu,,measured_replay,True,,,,,,,,,,8696.61328125,True,,5000.0,5000.0,0.0,,,5012.457197743654,medium,True,True,,False,,4502.98779296875,False,full_lru,,0.0,1304.4919921875,full precision exact profile,0.0,,,,session_054_turn_001,0.0,0.0,0.0,3017.883203125,,,session_054,chat,4496.080761986971,1
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,8230.737454164027,long,True,True,,False,,4745.37939453125,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_054_turn_002,0.0,0.0,0.0,6061.6978515625,,,session_054,chat,7700.308854597806,2
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,1841.497285747528,short,True,True,,False,,4284.88037109375,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_055_turn_000,0.0,0.0,0.0,0.0,,,session_055,chat,1329.0530019342898,0
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,1857.6048121094702,short,True,True,,False,,4287.33154296875,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_056_turn_000,0.0,0.0,0.0,0.0,,,session_056,chat,1333.606920415163,0
full_gpu,,measured_replay,True,,,,,,,,,,8696.61328125,True,,5000.0,5000.0,0.0,,,5175.962249386311,medium,True,True,,False,,4708.44677734375,False,full_lru,,0.0,1304.4919921875,full precision exact profile,0.0,,,,session_056_turn_001,0.0,0.0,0.0,3024.801171875,,,session_056,chat,4644.977329868078,1
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,1865.5150339245795,short,True,True,,False,,4294.22802734375,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_057_turn_000,0.0,0.0,0.0,0.0,,,session_057,chat,1347.224301868677,0
full_gpu,,measured_replay,True,,,,,,,,,,8696.61328125,True,,5000.0,5000.0,0.0,,,5010.549611049891,medium,True,True,,False,,4468.97021484375,False,full_lru,,0.0,1304.4919921875,full precision exact profile,0.0,,,,session_057_turn_001,0.0,0.0,0.0,3024.801171875,,,session_057,chat,4499.478368657828,1
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,8138.486585843562,long,True,True,,False,,4596.97998046875,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_057_turn_002,0.0,0.0,0.0,6068.6158203125,,,session_057,chat,7599.9301926076405,2
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,11302.399425590038,long,True,True,,False,,4722.73388671875,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_057_turn_003,0.0,0.0,0.0,9093.4169921875,,,session_057,chat,10741.355399423837,3
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,1872.9182847082614,short,True,True,,False,,4293.01708984375,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_058_turn_000,0.0,0.0,0.0,0.0,,,session_058,chat,1335.9988026559352,0
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,5437.421592831612,long,True,True,,False,,4801.28076171875,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_058_turn_001,0.0,0.0,0.0,3024.801171875,,,session_058,chat,4739.041252940893,1
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,8405.568330472706,long,True,True,,False,,4820.93701171875,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_058_turn_002,0.0,0.0,0.0,6052.2615234375,,,session_058,chat,7763.56638867259,2
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,2253.979447686672,long,True,True,,False,,4567.34130859375,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_059_turn_000,0.0,0.0,0.0,0.0,,,session_059,chat,1556.7644568324088,0
full_gpu,,measured_replay,True,,,,,,,,,,8696.61328125,True,,5000.0,5000.0,0.0,,,5271.1635409474375,long,True,True,,False,,4782.23681640625,False,full_lru,,0.0,1304.4919921875,full precision exact profile,0.0,,,,session_059_turn_001,0.0,0.0,0.0,3027.4603515625,,,session_059,chat,4750.867786872387,1
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,4271.079394423961,short,True,True,,False,,4297.91357421875,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_060_turn_000,0.0,0.0,0.0,0.0,,,session_060,chat,3683.628279173374,0
full_gpu,,measured_replay,True,,,,,,,,,,8696.61328125,True,,5000.0,5000.0,0.0,,,5152.565437424183,long,True,True,,False,,4620.18896484375,False,full_lru,,0.0,1304.4919921875,full precision exact profile,0.0,,,,session_060_turn_001,0.0,0.0,0.0,3027.4603515625,,,session_060,chat,4608.2119932949545,1
full_gpu,,measured_replay,True,,,,,,,,,,8696.61328125,True,,5000.0,5000.0,0.0,,,8241.133026397227,long,True,True,,False,,4740.46533203125,False,full_lru,,0.0,1304.4919921875,full precision exact profile,0.0,,,,session_060_turn_002,0.0,0.0,0.0,6071.275,,,session_060,chat,7697.655383116006,2
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,2014.616939628124,short,True,True,,False,,4289.98974609375,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_061_turn_000,0.0,0.0,0.0,0.0,,,session_061,chat,1346.0427964270114,0
full_gpu,,measured_replay,True,,,,,,,,,,8691.11328125,True,,5000.0,5000.0,0.0,,,7505.980024164915,long,True,True,,False,,4561.26513671875,False,full_lru,,0.0,1303.6669921875,full precision exact profile,0.0,,,,session_061_turn_001,0.0,0.0,0.0,3027.4603515625,,,session_061,chat,6919.839089787007,1
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,1985.2052474558352,short,True,True,,False,,4299.07177734375,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_062_turn_000,0.0,0.0,0.0,0.0,,,session_062,chat,1350.307665222883,0
full_gpu,,measured_replay,True,,,,,,,,,,8691.11328125,True,,5000.0,5000.0,0.0,,,5142.795855230093,long,True,True,,False,,4526.45849609375,False,full_lru,,0.0,1303.6669921875,full precision exact profile,0.0,,,,session_062_turn_001,0.0,0.0,0.0,3027.4603515625,,,session_062,chat,4579.883335208893,1
full_gpu,,measured_replay,True,,,,,,,,,,8691.11328125,True,,5000.0,5000.0,0.0,,,8317.04128680229,long,True,True,,False,,4777.54638671875,False,full_lru,,0.0,1303.6669921875,full precision exact profile,0.0,,,,session_062_turn_002,0.0,0.0,0.0,6069.349999999999,,,session_062,chat,7783.82166621685,2
full_gpu,,measured_replay,True,,,,,,,,,,8691.11328125,True,,5000.0,5000.0,0.0,,,2111.8318942189217,long,True,True,,False,,4661.24169921875,False,full_lru,,0.0,1303.6669921875,full precision exact profile,0.0,,,,session_063_turn_000,0.0,0.0,0.0,0.0,,,session_063,chat,1599.2876720428467,0
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,2020.50484662652,short,True,True,,False,,4287.56787109375,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_064_turn_000,0.0,0.0,0.0,0.0,,,session_064,chat,1345.4679319798945,0
