policy,memory_budget_mib,epsilon,delta,count,ok_count,session_count,budget_hit_count,budget_hit_rate,restore_count,restore_time_ms_total,recompute_count,recompute_time_ms_total,queue_event_count,queue_delay_ms_mean,evict_event_count,session_reuse_evidence,backend_event_evidence
static_safe,96.0,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0010910511016845703,0.0,True,True
uncalibrated_dynamic,96.0,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,3.0,90656.1113411691,0.0,0.0,2.0,True,True
utility_dynamic,96.0,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00017298184908353366,0.0,True,True
full_lru,96.0,0.1,0.05,65.0,65.0,13.0,33.0,0.5076923076923077,0.0,0,32.0,4461.260739015415,0.0,0.0,33.0,True,True
static_best,96.0,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,96.0,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
uncalibrated_dynamic,96.0,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,3.0,90892.70993671753,0.0,0.0,2.0,True,True
utility_dynamic,96.0,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,96.0,0.1,0.1,65.0,65.0,13.0,33.0,0.5076923076923077,0.0,0,32.0,4569.458292564377,0.0,0.0,33.0,True,True
static_best,96.0,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,96.0,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0012944478255051833,0.0,True,True
uncalibrated_dynamic,96.0,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,3.0,88184.31333472021,1.0,0.00016927352318396935,2.0,True,True
utility_dynamic,96.0,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00016384491553673379,0.0,True,True
full_lru,120.258,0.05,0.05,65.0,65.0,13.0,29.0,0.4461538461538462,0.0,0,28.0,4216.517656110227,1.0,0.0003241208883432242,29.0,True,True
