action_profile,audit_rate,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,measured_replay,False,,,,,,,,,,,True,,15.53125,,,2633.526399731636,medium,True,True,,False,,6765.5849609375,False,full_lru,,0.0,full precision exact profile,,,,,session_046_turn_002,,,8175.26953125,,,,session_046,chat,2069.886237382889,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,26.6328125,,,722.9030095040798,long,True,True,,False,,6896.4033203125,False,full_lru,,0.0,full precision exact profile,,,,,session_046_turn_003,,,8176.65234375,,,,session_046,chat,218.50111335515976,3
full_gpu,,measured_replay,False,,,,,,,,,,,True,,37.296875,,,833.2164883613586,long,True,True,,False,,7019.7978515625,False,full_lru,,0.0,full precision exact profile,,,,,session_046_turn_004,,,8176.65234375,,,,session_046,chat,307.2681687772274,4
full_gpu,,measured_replay,False,,,,,,,,,,,True,,17.1171875,,,687.9282109439373,medium,True,True,,False,,6784.3076171875,False,full_lru,,0.0,full precision exact profile,,,,,session_047_turn_000,,,8175.26953125,,,,session_047,chat,159.04223546385765,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,2.1875,,,588.2126204669476,short,True,True,,False,,6609.0791015625,False,full_lru,,0.0,full precision exact profile,,,,,session_048_turn_000,,,8176.65234375,,,,session_048,chat,51.003146916627884,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,31.1171875,,,803.1080439686775,medium,True,True,,False,,6947.8154296875,False,full_lru,,0.0,full precision exact profile,,,,,session_048_turn_001,,,8175.26953125,,,,session_048,chat,256.798580288887,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.3671875,,,2453.6753706634045,short,True,True,,False,,6599.9033203125,False,full_lru,,0.0,full precision exact profile,,,,,session_049_turn_000,,,8195.8203125,,,,session_049,chat,1903.0934236943722,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,9.84375,,,604.4666990637779,medium,True,True,,False,,6698.9189453125,False,full_lru,,0.0,full precision exact profile,,,,,session_049_turn_001,,,8175.26953125,,,,session_049,chat,94.79602426290512,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,18.6484375,,,721.7735350131989,medium,True,True,,False,,6801.8642578125,False,full_lru,,0.0,full precision exact profile,,,,,session_049_turn_002,,,8135.0,,,,session_049,chat,175.29237270355225,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,23.6796875,,,744.827963411808,medium,True,True,,False,,6860.2744140625,False,full_lru,,0.0,full precision exact profile,,,,,session_049_turn_003,,,8135.0,,,,session_049,chat,207.16111734509468,3
full_gpu,,measured_replay,False,,,,,,,,,,,True,,29.75,,,788.4325943887234,long,True,True,,False,,6932.1416015625,False,full_lru,,0.0,full precision exact profile,,,,,session_049_turn_004,,,8195.8203125,,,,session_049,chat,271.00007608532906,4
full_gpu,,measured_replay,False,,,,,,,,,,,True,,33.4140625,,,803.2982014119625,long,True,True,,False,,6974.5849609375,False,full_lru,,0.0,full precision exact profile,,,,,session_049_turn_005,,,8195.8203125,,,,session_049,chat,271.82161808013916,5
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.1484375,,,564.200334250927,short,True,True,,False,,6597.7236328125,False,full_lru,,0.0,full precision exact profile,,,,,session_050_turn_000,,,8195.8203125,,,,session_050,chat,37.49775141477585,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,7.765625,,,609.8835058510303,medium,True,True,,False,,6673.8427734375,False,full_lru,,0.0,full precision exact profile,,,,,session_050_turn_001,,,8135.0,,,,session_050,chat,70.75266912579536,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,16.734375,,,682.3357902467251,medium,True,True,,False,,6779.9189453125,False,full_lru,,0.0,full precision exact profile,,,,,session_050_turn_002,,,8155.28125,,,,session_050,chat,171.62972316145897,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,23.8984375,,,736.5106232464314,medium,True,True,,False,,6862.8369140625,False,full_lru,,0.0,full precision exact profile,,,,,session_050_turn_003,,,8155.28125,,,,session_050,chat,208.06846022605896,3
full_gpu,,measured_replay,False,,,,,,,,,,,True,,31.6640625,,,772.8507407009602,long,True,True,,False,,6954.0849609375,False,full_lru,,0.0,full precision exact profile,,,,,session_050_turn_004,,,8195.8203125,,,,session_050,chat,262.02303171157837,4
full_gpu,,measured_replay,False,,,,,,,,,,,True,,40.90625,,,860.0935898721218,long,True,True,,False,,7063.8662109375,False,full_lru,,0.0,full precision exact profile,,,,,session_050_turn_005,,,8175.26953125,,,,session_050,chat,335.2510333061218,5
